id,Tipo,Nombre,Ubicacion,Descripcion,Costo,MinimoPeriodo
1,HabitacionUniversitaria,475,Parkside,Legros-Swaniawski,284.47,1
2,HabitacionVivienda,261,Russell,Kunze-Goldner,946.23,180
3,Vivienda,591,Melody,Hoppe-Klein,121.4,1
4,HabitacionVivienda,114,Buhler,Bins, Spinka and Daugherty,480.06,180
5,HabitacionHotel,392,Miller,Mueller and Sons,833.3,1
6,HabitacionVivienda,917,Fieldstone,Orn-Russel,844.07,1
7,Apartamento,358,Towne,Kovacek and Sons,60.45,60
8,HabitacionHostal,346,Sutherland,Armstrong, Torphy and Nicolas,508.58,1
9,HabitacionVivienda,793,Dexter,Renner and Sons,567.46,60
10,HabitacionHotel,388,4th,Rutherford, Lebsack and Runte,685.58,30
11,HabitacionVivienda,394,Dexter,Harris-Kling,58.1,60
12,HabitacionHostal,916,Twin Pines,Hansen-Bradtke,955.17,30
13,HabitacionHotel,447,Fisk,Medhurst, Douglas and Lueilwitz,13.93,60
14,HabitacionHotel,811,Gina,Nienow LLC,318.42,180
15,HabitacionVivienda,317,Monterey,Goodwin-Bechtelar,474.89,60
16,Vivienda,91,Twin Pines,Waelchi-Champlin,91.13,1
17,Apartamento,849,Calypso,Hyatt and Sons,306.77,180
18,HabitacionVivienda,997,Rieder,Hauck Group,783.89,180
19,Vivienda,627,Rutledge,Strosin-Gutmann,866.06,180
20,Vivienda,792,Fair Oaks,Hermiston-Tromp,799.06,1
21,HabitacionVivienda,920,Sunnyside,Hermiston-Pagac,937.94,1
22,Apartamento,324,Maple Wood,Greenfelder-Torp,38.93,1
23,HabitacionHostal,259,Rusk,Morissette-Pouros,990.24,180
24,Vivienda,353,Melody,Nienow-Zieme,634.38,1
25,Vivienda,737,Trailsway,Hand Inc,898.63,60
26,HabitacionHotel,977,American Ash,Little, Abernathy and Ratke,114.03,60
27,HabitacionHotel,535,Dennis,Rowe Inc,781.34,180
28,HabitacionHostal,519,Farragut,Leuschke-Boyer,191.13,180
29,HabitacionHostal,424,Ludington,Connelly Inc,986.33,30
30,HabitacionVivienda,313,Sutteridge,Cole Group,788.63,1
31,HabitacionUniversitaria,995,Mifflin,Stiedemann, Stoltenberg and Stamm,616.34,180
32,HabitacionUniversitaria,251,Saint Paul,Crona, Lindgren and Johns,37.3,1
33,Apartamento,36,Barby,Kuphal Inc,398.25,60
34,HabitacionUniversitaria,921,Luster,Veum, Veum and Murphy,545.13,60
35,HabitacionVivienda,262,Burrows,Homenick, Orn and Abbott,544.52,60
36,Vivienda,957,Melby,Ritchie, D'Amore and Yost,288.11,60
37,HabitacionUniversitaria,792,Ramsey,Bauch-Von,295.97,60
38,Apartamento,111,Monterey,Nicolas, Schmidt and Boyle,475.47,1
39,Vivienda,115,Springview,Altenwerth, Brekke and Mosciski,576.16,60
40,Apartamento,809,Thackeray,Fisher LLC,148.04,60
41,HabitacionHotel,12,Old Shore,Ankunding-McLaughlin,174.81,1
42,Apartamento,52,Londonderry,Simonis-Kohler,301.03,1
43,HabitacionHotel,679,Drewry,Grady, Feil and Oberbrunner,240.79,180
44,Vivienda,452,Warner,Hackett LLC,257.82,1
45,HabitacionHostal,360,Hudson,Gaylord, Lesch and Torphy,161.77,30
46,Vivienda,863,Lien,Kihn, King and Jerde,268.44,60
47,HabitacionHotel,683,Schurz,Balistreri Inc,67.94,30
48,Apartamento,533,Nova,Walker, Rice and Ebert,884.99,1
49,HabitacionVivienda,783,Marquette,Oberbrunner-Bins,70.13,180
50,HabitacionVivienda,718,Kim,Kunde-Halvorson,701.66,180
51,Vivienda,484,Hintze,Rodriguez, Mohr and Stamm,435.29,60
52,HabitacionVivienda,244,Jackson,Kunze-Aufderhar,247.02,180
