id,Capacidad,Tipo,NumeroHabitacion,Tamano
2001,2,Sencilla,211,912
2002,2,Doble,198,624
2003,4,Rey,234,149
2004,5,Doble,317,468
2005,4,Suite,708,759
2006,6,Sencilla,532,6
2007,4,Sencilla,738,24
2008,6,Doble,45,986
2009,4,,,
2010,1,Doble,798,637
2011,3,Suite,374,256
2012,3,Doble,226,650
2013,6,Doble,913,944
2014,2,Suite,89,945
2015,3,Sencilla,526,404
2016,2,Suite,325,690
2017,6,Suite,944,64
2018,5,Doble,898,750
2019,3,Sencilla,962,72
2020,5,Suite,675,990
2021,1,Rey,496,198
2022,2,Suite,454,564
2023,6,Sencilla,956,136
2024,5,Suite,54,879
2025,4,Rey,897,176
2026,5,Sencilla,416,969
2027,3,Doble,198,883
2028,3,Rey,574,83
2029,6,Suite,787,945
2030,3,Suite,425,238
2031,5,Rey,931,768
2032,6,Sencilla,556,133
2033,1,,,
2034,2,Doble,167,497
2035,2,Doble,545,779
2036,6,Doble,809,356
2037,1,Suite,532,659
2038,3,Rey,82,626
2039,2,Doble,687,846
2040,6,Doble,311,944
2041,1,Suite,781,284
2042,2,,,
2043,4,Rey,858,666
2044,6,Suite,537,597
2045,6,Suite,404,739
2046,3,Sencilla,743,162
2047,6,Rey,940,924
2048,1,Rey,218,603
2049,5,Doble,16,253
2050,2,Doble,634,50
2051,3,Suite,359,958
2052,5,Doble,664,534
2053,3,Suite,569,667
2054,1,Sencilla,47,443
2055,2,Suite,627,583
2056,5,Rey,266,837
2057,5,Sencilla,312,218
2058,2,Sencilla,739,596
2059,5,Doble,44,598
2060,4,Doble,825,621
2061,4,Rey,348,836
2062,4,Suite,120,670
2063,4,Doble,387,74
2064,4,Sencilla,604,855
2065,3,Rey,710,794
2066,4,Doble,781,535
2067,6,Rey,292,3
2068,1,Sencilla,886,181
2069,5,Doble,444,41
2070,2,Sencilla,706,886
2071,3,Rey,194,805
2072,5,Suite,125,893
2073,4,Sencilla,59,362
2074,1,Rey,609,492
2075,3,Doble,552,885
2076,1,Suite,806,877
2077,1,Doble,683,981
2078,5,Doble,57,843
2079,1,Sencilla,831,506
2080,4,Suite,335,366
2081,5,Sencilla,175,719
2082,5,Doble,650,895
2083,3,Suite,931,75
2084,4,Doble,392,625
2085,2,Sencilla,792,989
2086,1,Sencilla,687,993
2087,2,Suite,221,325
2088,4,Sencilla,144,965
2089,1,Sencilla,758,825
2090,3,Doble,317,640
2091,5,Sencilla,856,101
2092,1,Doble,469,420
2093,5,Suite,869,805
2094,4,Doble,787,690
2095,1,Suite,848,839
2096,2,Sencilla,345,502
2097,5,Doble,769,597
2098,3,Sencilla,911,421
2099,3,Doble,228,332
2100,3,Rey,608,456
2101,6,Doble,241,165
2102,2,Sencilla,3,233
2103,2,Doble,868,685
2104,4,Sencilla,11,555
2105,5,Sencilla,60,524
2106,4,Doble,51,291
2107,3,Doble,975,421
2108,2,Suite,152,442
2109,3,Rey,497,31
2110,2,Suite,534,8
2111,2,Sencilla,261,588
2112,2,Doble,857,788
2113,2,Doble,246,717
2114,2,Sencilla,543,972
2115,6,Sencilla,65,323
2116,6,Doble,581,344
2117,3,Sencilla,66,76
2118,1,Sencilla,802,167
2119,1,Rey,646,19
2120,5,Suite,857,13
2121,6,Doble,944,774
2122,5,Rey,858,869
2123,4,Suite,295,429
2124,1,Doble,244,485
2125,2,Suite,49,214
2126,3,Doble,498,246
2127,4,Doble,585,258
2128,2,Rey,321,521
2129,1,Sencilla,472,703
2130,2,Suite,325,629
2131,3,Suite,529,905
2132,1,Doble,525,366
2133,3,Rey,335,648
2134,1,Suite,748,828
2135,5,Doble,391,111
2136,5,Suite,671,614
2137,5,Sencilla,71,183
2138,3,Rey,244,660
2139,1,Sencilla,674,595
2140,1,Doble,93,789
2141,5,Rey,604,664
2142,2,Suite,879,230
2143,6,Suite,192,989
2144,6,Doble,268,837
2145,4,Doble,302,797
2146,6,Suite,556,113
2147,4,Sencilla,266,830
2148,5,Suite,744,263
2149,6,Doble,303,107
2150,2,Sencilla,302,617
2151,3,Sencilla,308,865
2152,4,Suite,843,957
2153,4,Doble,779,933
2154,6,Doble,512,425
2155,6,Doble,665,874
2156,4,Rey,351,929
2157,1,Sencilla,2,346
2158,2,Suite,293,896
2159,4,Sencilla,830,507
2160,5,Suite,791,374
2161,6,Suite,758,863
2162,6,Rey,74,122
2163,6,Rey,770,554
2164,1,Suite,250,590
2165,5,Sencilla,844,536
2166,2,Sencilla,66,320
2167,3,Sencilla,110,566
2168,3,Sencilla,465,95
2169,6,Suite,939,974
2170,6,,,
2171,6,Doble,761,24
2172,3,Sencilla,827,52
2173,4,Rey,307,533
2174,1,Suite,920,608
2175,4,Sencilla,794,790
2176,5,Sencilla,196,804
2177,2,Doble,523,903
2178,5,Rey,712,615
2179,4,Rey,475,48
2180,5,Doble,217,929
2181,2,Sencilla,782,561
2182,3,Suite,408,975
2183,4,Sencilla,938,381
2184,1,Sencilla,42,812
2185,2,Rey,543,451
2186,4,Suite,353,23
2187,6,Doble,485,605
2188,4,Rey,908,65
2189,1,Sencilla,918,282
2190,5,Suite,456,403
2191,4,Rey,879,302
2192,2,Sencilla,37,659
2193,4,Sencilla,541,311
2194,3,Suite,539,279
2195,1,Suite,106,47
2196,2,Doble,205,915
2197,5,Suite,121,221
2198,1,Rey,614,38
2199,6,Sencilla,118,286
2200,3,Suite,658,825
2201,2,Doble,975,802
2202,5,Sencilla,803,285
2203,2,Suite,905,589
2204,2,Doble,695,453
2205,5,Doble,58,104
2206,6,Suite,4,37
2207,4,Suite,412,824
2208,2,Sencilla,421,81
2209,1,Suite,533,19
2210,1,Sencilla,743,478
2211,1,Suite,112,503
2212,5,Sencilla,904,507
2213,5,Rey,416,492
2214,4,Rey,333,997
2215,2,Rey,604,771
2216,2,Suite,211,787
