id,precioEstadia,Nombre,Fechapublicacion,descripcion,alojamientoid,operador,capacidad
1,310.04,Heller LLC,30-03-16,Accounting,1883,1632,12
2,2744.53,Becker Barrows and Parisian,06/08/2015,Training,5341,4555,4
3,1727.06,Kozey Inc,23-01-14,Services,2146,823,3
4,1487.66,Ebert and Sons,08-01-17,Business Development,3674,4641,4
5,687.14,Spencer Russel and Zieme,14/01/2017,Human Resources,4470,4515,15
6,958.03,Jakubowski and Sons,29-09-17,Sales,5012,2306,12
7,1263.36,Rippin and Sons,27-02-14,Product Management,1886,1844,6
8,2814.25,Trantow Inc,13-10-16,Support,777,2320,5
9,4037.08,Jacobi-Schuppe,04-01-16,Product Management,3629,2629,6
10,3231.98,Waelchi Inc,28-12-15,Legal,2973,1853,12
11,4179.74,Block LLC,20-07-16,Business Development,5385,3223,14
12,1035.09,Harris Inc,07-11-17,Support,5543,3581,13
13,4861.05,Hermiston-Fisher,24-12-17,Services,582,3952,14
14,4290.02,Jenkins-Schmeler,28-10-15,Engineering,270,903,12
15,3123.27,DuBuque Medhurst and Lebsack,10/03/2016,Support,4124,2004,7
16,4696.22,Sauer and Sons,30-10-16,Accounting,3217,1733,6
17,138.11,Runte Lakin and Williamson,25/06/2013,Human Resources,4571,2539,13
18,213.71,Jacobi Beatty and Pollich,27/03/2017,Legal,1116,2807,7
19,40.96,Kozey and Sons,15-07-15,Training,3302,4889,16
20,3401.48,Schaden LLC,13-11-15,Product Management,3763,2958,13
21,3910.74,Skiles-Pouros,17-11-16,Business Development,5730,2335,4
22,1033.5,West Russel and O'Conner,27/05/2015,Services,2535,3934,1
23,1010.97,Wehner and Sons,19-06-17,Marketing,405,3311,14
24,3993.59,Crooks-Cole,26-10-13,Training,5945,478,16
25,1574.06,Flatley Bergnaum and Bauch,09/07/2016,Support,2840,3821,15
26,2018.16,O'Kon-Nikolaus,10-05-17,Research and Development,4648,472,1
27,4079.39,Carroll-Pacocha,31-07-13,Business Development,4105,3799,4
28,939.8,Dickinson Simonis and Nienow,13/10/2014,Legal,2518,3939,7
29,3600.16,Turcotte Breitenberg and Ferry,01/07/2014,Support,3917,3655,6
30,4211.5,Raynor-Roberts,09-09-15,Marketing,1573,1331,13
31,678.89,Schmidt LLC,04-07-17,Business Development,2601,2732,6
32,2418.32,McKenzie Braun and Mueller,29/01/2018,Business Development,4824,1377,15
33,894.71,Little-Flatley,07-10-15,Business Development,3189,2644,13
34,4544.14,Dickens-Turcotte,05-12-15,Support,921,1189,9
35,15.95,Reilly-Simonis,16-12-16,Engineering,2324,2218,6
36,2747.14,Hayes and Sons,05-09-15,Human Resources,3442,1891,5
37,2876.16,Kulas Fisher and Graham,09/07/2017,Training,582,1832,8
