Id,FechaLlegada,Recargo,CantidadDias,OFerta,Vigente
1,09/09/2016,0.0,398,4071,Y
2,09/05/2018,0.0,884,4995,N
3,02/11/2016,0.0,324,2290,N
4,09/09/2016,0.0,184,1048,Y
5,16/03/2014,0.0,946,2578,N
6,24/01/2018,0.0,978,4016,N
7,17/06/2014,0.0,472,1420,Y
8,27/05/2017,0.0,4,5422,Y
9,13/10/2017,0.0,694,4701,N
10,10/01/2018,0.0,723,5584,N
11,15/02/2018,0.0,759,4889,N
12,01/08/2015,0.0,977,1775,N
13,20/02/2014,0.0,384,1304,N
14,20/12/2017,0.0,758,5498,Y
15,04/10/2015,0.0,78,3109,Y
16,07/09/2013,0.0,638,2670,Y
17,22/12/2015,0.0,875,4579,Y
18,08/05/2016,0.0,642,4451,N
19,09/10/2014,0.0,66,1019,Y
20,18/09/2016,0.0,923,5747,N
21,08/03/2017,0.0,11,1612,Y
22,03/06/2013,0.0,220,2197,N
23,25/11/2013,0.0,233,2431,N
24,09/05/2018,0.0,679,1856,N
25,13/12/2015,0.0,904,2943,N
26,06/01/2018,0.0,939,4974,N
27,09/03/2015,0.0,217,3635,Y
28,23/11/2015,0.0,559,3084,Y
29,03/12/2015,0.0,339,2894,Y
30,19/07/2016,0.0,884,2368,N
31,31/01/2017,0.0,948,5134,Y
32,02/01/2018,0.0,95,235,Y
33,20/01/2016,0.0,728,1931,Y
34,23/06/2015,0.0,727,5103,Y
35,23/12/2014,0.0,668,3272,Y
36,22/06/2015,0.0,223,4083,N
37,28/08/2014,0.0,578,384,N
38,21/01/2016,0.0,170,3737,Y
39,20/06/2015,0.0,919,2492,N
40,27/06/2013,0.0,422,5596,Y
41,04/03/2016,0.0,965,2586,Y
42,20/11/2013,0.0,653,3240,Y
43,08/01/2016,0.0,355,4025,N
44,08/10/2017,0.0,542,4076,N
45,03/06/2013,0.0,893,1869,Y
46,22/02/2014,0.0,195,5057,Y
47,21/01/2018,0.0,105,5425,N
48,11/05/2015,0.0,204,1369,N
49,18/10/2017,0.0,496,3342,N
50,13/08/2017,0.0,612,1402,Y
51,22/12/2014,0.0,16,4255,Y
52,11/07/2014,0.0,249,4967,N
53,27/07/2015,0.0,293,3021,N
54,15/08/2016,0.0,582,1527,N
55,19/03/2015,0.0,351,3352,Y
56,24/07/2015,0.0,81,3515,Y
57,13/11/2016,0.0,536,4391,Y
58,01/03/2017,0.0,343,10,Y
59,01/06/2016,0.0,940,2260,Y
60,10/02/2018,0.0,895,1494,Y
61,25/12/2017,0.0,350,567,Y
62,25/05/2017,0.0,854,3175,Y
63,14/05/2014,0.0,763,2229,N
64,19/01/2014,0.0,934,3966,Y
65,08/04/2014,0.0,810,548,N
66,20/07/2017,0.0,343,4551,N
67,12/10/2013,0.0,277,2371,Y
68,28/05/2014,0.0,874,3526,N
69,17/12/2015,0.0,744,3275,N
70,02/07/2014,0.0,589,2908,Y
71,14/12/2017,0.0,886,1246,N
72,13/02/2018,0.0,871,1282,Y
73,08/10/2017,0.0,207,4739,Y
74,21/07/2015,0.0,943,2909,Y
75,23/03/2017,0.0,402,4762,N
76,15/08/2017,0.0,52,5238,N
77,22/04/2016,0.0,366,1095,Y
78,09/09/2016,0.0,208,1695,Y
79,22/12/2014,0.0,871,332,N
80,06/09/2016,0.0,843,3102,Y
81,03/02/2016,0.0,508,992,N
82,17/01/2014,0.0,732,2443,Y
83,19/04/2014,0.0,540,2507,Y
84,28/11/2013,0.0,586,2014,Y
85,09/08/2015,0.0,998,3589,Y
86,24/08/2014,0.0,1000,5122,Y
87,24/07/2016,0.0,108,5376,Y
88,02/12/2017,0.0,916,711,Y
89,05/07/2016,0.0,5,948,N
90,31/07/2014,0.0,120,5217,Y
91,06/08/2017,0.0,689,1891,Y
92,09/10/2013,0.0,153,3464,N
93,04/05/2015,0.0,170,4814,Y
94,05/02/2014,0.0,408,3879,N
95,03/05/2014,0.0,696,190,N
96,01/03/2016,0.0,736,760,N
97,21/03/2017,0.0,432,1081,N
98,28/03/2018,0.0,483,1325,N
99,25/07/2016,0.0,11,3413,N
100,02/01/2015,0.0,517,2352,Y
101,05/09/2016,0.0,694,4110,N
102,17/12/2017,0.0,378,1671,Y
103,21/04/2015,0.0,361,1623,N
104,19/02/2014,0.0,376,556,N
105,06/08/2013,0.0,56,5798,Y
106,20/12/2017,0.0,627,4953,N
107,29/10/2014,0.0,95,5854,Y
108,18/12/2014,0.0,223,5579,Y
109,16/10/2014,0.0,482,3859,Y
110,01/10/2016,0.0,23,4763,Y
111,06/11/2014,0.0,577,1796,Y
112,16/04/2016,0.0,454,2381,N
113,22/05/2014,0.0,329,3745,N
114,20/06/2017,0.0,21,3020,N
115,23/10/2017,0.0,99,2993,Y
116,25/12/2015,0.0,54,1938,Y
117,24/12/2016,0.0,483,5070,Y
118,16/04/2018,0.0,788,4755,N
119,28/09/2015,0.0,989,3150,Y
120,02/12/2013,0.0,261,5830,Y
121,10/06/2017,0.0,931,5840,Y
122,10/12/2015,0.0,360,3323,N
123,26/01/2018,0.0,349,4047,Y
124,08/10/2015,0.0,533,1157,N
125,08/09/2017,0.0,517,5172,Y
126,02/09/2015,0.0,767,587,Y
127,07/03/2016,0.0,526,3104,N
128,05/03/2017,0.0,356,3417,Y
129,11/09/2017,0.0,365,700,Y
130,08/05/2014,0.0,949,487,Y
131,04/08/2014,0.0,675,4281,N
132,29/09/2017,0.0,508,4603,Y
133,07/07/2015,0.0,463,4681,Y
134,11/02/2017,0.0,218,5001,N
135,22/09/2015,0.0,259,5302,Y
136,03/06/2017,0.0,849,304,N
137,18/02/2014,0.0,362,934,N
138,11/03/2016,0.0,999,1429,Y
139,08/03/2018,0.0,203,1099,Y
140,06/03/2017,0.0,971,5592,Y
141,18/04/2015,0.0,764,5556,N
142,03/06/2017,0.0,254,1034,N
143,02/06/2013,0.0,656,1328,N
144,06/08/2015,0.0,217,4653,N
145,22/04/2015,0.0,581,3979,N
146,19/02/2018,0.0,198,1538,N
147,07/06/2016,0.0,434,1742,N
148,14/10/2017,0.0,524,5083,Y
149,21/04/2017,0.0,526,2071,Y
150,07/02/2015,0.0,763,3316,Y
151,01/12/2017,0.0,359,2868,Y
152,29/01/2016,0.0,316,2992,N
153,25/10/2015,0.0,195,3138,N
154,04/06/2014,0.0,401,3314,N
155,01/05/2015,0.0,99,1490,Y
156,27/09/2014,0.0,964,4798,Y
157,04/06/2016,0.0,423,4137,Y
158,07/12/2016,0.0,88,4915,Y
159,06/12/2015,0.0,259,4577,N
160,15/01/2016,0.0,17,2529,N
161,10/08/2014,0.0,20,587,Y
162,14/02/2016,0.0,597,1870,N
163,22/09/2015,0.0,410,3651,N
164,04/07/2014,0.0,219,2136,Y
165,07/09/2015,0.0,690,3779,N
166,01/03/2018,0.0,80,3869,N
167,13/07/2013,0.0,901,66,Y
168,07/02/2015,0.0,340,3403,N
169,06/07/2014,0.0,814,5908,N
170,01/03/2018,0.0,12,1566,N
171,04/07/2017,0.0,873,5056,Y
172,29/03/2015,0.0,113,1522,N
173,09/01/2018,0.0,332,3011,N
174,08/02/2015,0.0,878,3321,Y
175,15/08/2014,0.0,586,3773,Y
176,01/11/2015,0.0,540,4062,N
177,18/08/2017,0.0,934,5945,N
178,14/03/2016,0.0,923,3967,Y
179,02/08/2014,0.0,754,3781,Y
180,17/06/2016,0.0,916,4574,N
181,05/11/2013,0.0,706,5210,Y
182,18/03/2017,0.0,776,3202,N
183,27/10/2017,0.0,934,5081,Y
184,18/05/2018,0.0,527,4540,N
185,05/11/2015,0.0,283,698,N
186,09/05/2017,0.0,570,2878,Y
187,04/05/2015,0.0,563,973,N
188,31/03/2017,0.0,844,3439,N
189,05/04/2016,0.0,221,528,Y
190,28/08/2016,0.0,571,5519,Y
191,13/05/2014,0.0,917,1801,Y
192,24/03/2017,0.0,420,3297,Y
193,28/02/2014,0.0,945,5170,N
194,25/12/2015,0.0,90,4517,N
195,12/04/2018,0.0,626,5963,Y
196,28/05/2014,0.0,470,3330,Y
197,18/09/2017,0.0,349,5331,N
198,25/01/2016,0.0,174,3425,N
199,28/09/2016,0.0,984,5291,Y
200,24/02/2014,0.0,771,217,N
201,07/03/2014,0.0,355,2327,Y
202,27/08/2013,0.0,314,1849,Y
203,26/09/2017,0.0,750,1245,N
204,25/10/2013,0.0,530,3149,Y
205,11/08/2013,0.0,277,619,N
206,02/06/2014,0.0,138,4500,Y
207,10/11/2013,0.0,484,1848,Y
208,16/06/2017,0.0,364,4653,N
209,22/10/2017,0.0,937,4162,Y
210,06/01/2016,0.0,910,2413,Y
211,03/01/2015,0.0,204,4797,N
