clienteId,ReservaId
929,472
488,678
995,75
132,53
295,444
965,61
8,494
802,34
918,776
1,578
518,573
683,114
314,864
309,107
939,253
744,454
631,792
426,349
486,626
797,534
383,483
637,604
161,623
592,33
63,234
594,76
14,205
427,927
120,409
602,538
707,269
131,956
946,791
694,315
690,31
489,874
692,224
603,697
379,644
780,138
756,325
450,72
780,721
431,111
367,368
960,177
252,576
823,782
105,45
866,38
322,57
130,873
925,252
110,6
462,759
305,526
629,22
112,957
814,405
172,897
202,674
782,199
531,665
31,172
725,394
624,852
885,345
943,85
899,87
933,37
4,728
762,1
733,798
744,804
553,669
67,629
423,606
922,105
276,769
411,177
965,368
881,711
401,562
945,41
423,628
498,324
59,831
441,21
729,803
70,196
963,77
239,716
537,1
580,902
267,203
890,159
406,784
481,797
342,61
399,121
477,561
18,833
839,308
518,456
689,896
140,253
284,743
279,239
5,585
397,743
197,522
83,878
973,925
610,162
353,937
27,5
912,559
153,754
945,87
466,322
574,77
183,562
451,105
641,166
927,956
33,69
885,643
929,263
593,724
551,705
619,587
182,716
613,844
663,1
905,429
525,262
228,298
434,623
112,968
522,11
4,533
682,841
916,117
218,504
973,461
856,208
576,507
336,585
872,731
158,566
545,118
926,345
836,976
660,794
176,787
129,354
216,43
703,403
927,67
648,58
988,423
64,617
909,373
975,91
951,516
865,498
672,224
699,21
983,53
146,791
50,445
381,651
139,167
372,276
347,951
657,703
18,282
860,812
940,912
748,153
538,397
89,156
477,282
838,23
605,618
644,952
427,187
586,747
324,881
184,123
598,371
408,349
376,913
683,298
172,149
260,809
594,18
574,192
664,426
559,926
656,44
397,485
372,222
814,848
731,572
864,47
632,6
71,301
569,488
240,558
127,845
284,342
156,75
431,682
773,48
472,5
233,318
445,312
298,219
825,539
120,583
905,503
243,194
976,947
657,746
654,98
824,686
119,794
369,754
203,844
475,688
223,758
128,593
623,82
984,55
251,471
674,86
676,293
743,258
894,658
211,283
524,967
419,726
601,64
221,1
567,974
446,81
182,85
278,168
570,515
49,897
71,127
157,444
654,416
25,497
837,63
380,828
377,303
88,71
297,869
467,302
143,407
252,675
330,131
246,209
462,351
830,977
306,718
66,95
822,546
524,298
331,678
200,26
810,101
915,425
178,931
276,738
160,45
769,854
37,878
177,545
604,33
868,496
99,935
35,65
3,813
255,495
203,611
815,526
460,214
293,343
52,545
165,762
321,11
190,97
712,134
199,349
318,917
67,496
911,508
795,367
14,5
466,188
19,931
697,331
768,461
990,313
228,495
515,873
435,63
70,494
766,866
755,233
825,62
242,212
602,113
598,407
120,207
409,563
624,48
95,863
600,782
231,753
212,279
287,567
675,676
799,786
943,63
266,369
658,253
641,844
499,816
453,52
875,375
803,926
428,608
349,408
291,786
710,972
469,396
347,546
691,175
137,867
904,375
573,21
301,275
231,8
85,85
784,213
627,675
296,773
730,942
368,476
82,46
2,308
635,1
473,433
773,905
823,126
368,766
230,63
235,332
435,222
640,904
892,187
944,471
729,256
370,246
155,35
812,885
530,469
930,58
927,285
332,385
312,775
23,203
271,805
283,492
582,16
534,475
789,284
421,938
157,743
828,235
568,357
551,315
498,148
446,441
274,248
403,669
869,579
141,7
578,572
635,391
263,924
515,57
570,211
915,629
393,192
649,138
95,34
571,178
472,704
395,581
318,76
593,68
125,262
998,992
908,778
951,476
459,86
192,707
789,14
548,575
612,797
510,723
174,604
499,695
325,45
71,358
792,733
197,259
662,606
156,52
381,493
414,479
138,858
414,897
440,138
279,197
98,996
467,375
135,71
40,911
510,114
375,4
483,13
267,664
71,38
706,561
413,909
790,205
709,785
142,477
909,183
53,935
246,361
826,991
151,916
607,324
196,463
411,827
624,545
1000,622
432,467
980,457
618,394
122,483
369,185
967,917
545,252
171,896
522,44
321,987
508,435
79,715
581,814
482,726
39,303
436,72
380,934
147,684
540,151
598,197
1,195
212,699
296,412
532,258
630,281
177,766
412,795
217,384
125,917
599,952
817,508
314,327
620,248
27,625
75,158
203,522
249,935
695,84
508,85
856,621
628,899
466,363
611,533
884,12
897,564
347,19
95,995
613,252
83,654
162,27
565,269
222,669
689,719
56,391
604,878
894,94
605,657
774,972
955,999
828,32
325,635
993,912
419,246
400,821
371,545
219,455
539,685
377,12
750,4
64,22
438,175
615,606
106,29
788,681
67,772
378,937
388,51
965,575
169,215
625,442
761,107
765,456
989,588
754,884
687,912
455,812
472,332
526,432
910,947
702,14
327,189
499,992
494,957
687,626
283,74
825,717
773,989
779,73
523,194
242,15
318,11
20,1
4,938
13,103
965,328
939,302
381,215
952,659
415,948
664,68
441,142
545,999
543,42
331,691
670,844
234,196
960,429
482,528
823,394
616,491
471,214
843,547
799,688
644,482
33,428
458,849
565,961
964,335
692,72
248,754
990,894
862,882
871,919
15,41
716,81
809,145
249,36
888,916
508,334
500,434
555,567
726,601
491,316
764,555
185,105
828,321
