id,nombre,descripcion,costo
1,Inez,Wisozk-Osinski,2007.42
2,Darb,Schuster-Sipes,488.04
3,Harman,Ullrich-Torphy,391.68
 4,Huntlee, Predovic Ortiz and Bednar ,1985.3 
5,Randy,Hansen and Sons,13.9
6,Buckie,Swift Inc,1643.25
7,Lesya,Reinger-Carter,3008.23
8,Riannon,Bayer Inc,2907.53
9,Nicol,Gorczany LLC,2377.04
10,Jacki,Reichert Inc,998.93
 11,Regina, Zulauf Hermiston and Kiehn ,3508.36 
 12,Clemmie, Legros Upton and Durgan ,2853.27 
13,Abdel,Kessler Inc,200.13
14,Maxy,Marquardt-Walsh,2399.71
15,Slade,Lehner Group,2401.36
16,Jobina,Stiedemann-Prohaska,86.36
17,Selma,Marvin-Schmidt,1434.77
 18,Christan, Davis Walsh and Schmitt ,3156.48 
19,Ganny,Luettgen LLC,709.2
 20,Weston, Lemke Lockman and Lueilwitz ,3593.81 
21,Bobette,Oberbrunner LLC,32.43
22,Rozina,Schmeler Group,3408.96
23,Bee,Tillman-Carroll,123.7
 24,Alyssa, Grant Ledner and Harris ,1378.82 
25,Shena,Hills Group,2089.77
26,Tomkin,McDermott Inc,1191.46
27,Glyn,Pagac-Pacocha,2271.35
28,Madonna,Brown Inc,803.71
29,Tate,Kunze LLC,3595.71
 30,Vite, Harris Hintz and McGlynn ,3550.42 
31,Bobbette,Smith Group,1499.06
 32,Cynthy, Dickens Sanford and Berge ,3108.4 
33,Anastasie,Haley-Conn,555.73
 34,Melisent, Connelly Thiel and Stiedemann ,3879.75 
 35,Crystie, Hartmann Cormier and Simonis ,2764.86 
 36,Tess, Spinka Stanton and Gutmann ,878.92 
 37,Cornelia, D'Amore Leffler and Walsh ,3380.26 
38,Nixie,Smitham Group,3024.26
 39,Ezequiel, Klein Pouros and Hansen ,3306.21 
 40,Shawna, Nicolas Donnelly and Grant ,3121.76 
41,Marline,Langworth and Sons,2237.5
 42,Miguela, Sanford Kohler and Gibson ,1987.32 
43,Annissa,O'Reilly-Tromp,1981.48
 44,Hilary, Satterfield Bayer and Gutmann ,998.43 
45,Elena,Buckridge-Feil,2400.47
46,Benny,Volkman LLC,2150.12
 47,Padraic, McClure Bahringer and Torp ,259.65 
48,Winn,Nitzsche-Auer,838.62
 49,Jeno, Bartell Pollich and Hane ,329.03 
50,Doralynne,Hermann-Abbott,3733.45
51,Ulick,Hane-Heathcote,1232.56
52,Bernarr,Thompson-Rau,250.8
 53,Filmer, Schneider Morissette and Klocko ,1238.17 
54,Garrot,Hodkiewicz Inc,150.64
55,Stephani,Hirthe-Hauck,2397.9
56,Wilone,Koss-Jones,378.86
 57,Rancell, Stracke Wunsch and Hermann ,1501.52 
 58,Krishna, Kertzmann Harvey and Renner ,822.12 
59,Tyrus,Bartell Group,1519.34
 60,Celestine, Baumbach Balistreri and Schaden ,499.7 
61,Delaney,Schuster LLC,1289.54
62,Donna,Boehm-Kozey,1327.44
63,Yelena,Kerluke-Steuber,993.43
64,Kristen,Zulauf-Mohr,3706.91
 65,Gerrie, Simonis Wuckert and Rolfson ,1951.33 
 66,Audrye, Brekke Sipes and Wiza ,2751.93 
 67,Heriberto, Wolff Casper and Halvorson ,3994.65 
68,Denney,Bergstrom-Hahn,3093.01
 69,Meggie, Walsh Weissnat and Runolfsson ,2923.91 
70,Garey,Haag-Sipes,1535.49
71,Jere,Rice-Volkman,145.51
 72,Beatrisa, Crona Dietrich and Trantow ,2889.91 
 73,Sancho, Kulas Hirthe and Huels ,2555.53 
