servicio,alojamiento
191,129
732,44
319,1505
489,1414
414,1714
756,224
299,629
336,943
949,1113
856,1221
550,1649
830,1422
121,588
768,597
971,1261
299,1957
951,1288
424,1032
890,199
227,1085
927,1136
701,153
219,812
854,922
224,859
151,902
982,1159
66,793
122,457
45,1318
700,1715
911,69
142,105
995,974
322,295
988,811
426,1032
239,1554
247,1133
811,112
504,1528
959,1853
610,9
782,184
813,292
885,985
213,1979
896,1223
129,1
931,646
705,1751
147,1977
392,143
457,1303
636,1214
732,1457
263,151
578,528
149,623
84,351
915,1716
268,526
188,58
704,1821
610,69
70,109
571,1294
831,982
578,758
920,887
114,173
961,1461
815,1077
44,278
306,1746
274,583
928,576
401,174
564,393
520,1818
959,1067
926,447
687,161
100,29
535,1723
781,828
559,341
666,1518
171,1857
300,523
729,88
795,844
427,1406
884,726
46,1427
535,801
232,1602
996,97
588,16
275,1842
630,177
250,573
207,1724
556,1464
805,1969
288,146
182,666
722,1422
155,131
711,18
110,1391
155,1669
868,373
508,1418
802,417
134,142
396,91
398,187
782,1334
922,144
177,721
147,84
776,534
26,159
353,1885
69,122
440,1221
685,544
484,1991
271,19
297,157
591,1166
809,885
478,1787
111,1762
683,651
78,1848
644,691
882,602
78,1004
591,239
261,239
254,505
955,738
330,1683
417,332
508,1849
308,1989
24,119
576,1205
365,681
137,501
272,1121
116,227
517,156
650,321
629,775
626,336
537,1509
276,585
719,159
957,1161
249,819
401,888
606,1632
596,478
145,531
615,182
884,1526
748,1787
959,965
486,905
946,1976
612,106
256,1733
752,1395
59,841
951,61
238,1954
553,462
939,121
817,902
453,17
3,581
336,156
969,839
72,42
631,1968
778,183
904,28
876,1138
927,231
896,356
821,133
498,1539
855,72
913,1648
767,1385
349,1632
31,981
272,1076
356,238
246,1371
400,1845
261,58
393,481
59,1506
334,248
199,605
792,62
992,1393
363,1747
502,994
305,466
372,1663
988,643
976,1348
607,1377
237,561
77,922
104,1957
908,1478
985,517
236,851
564,512
420,1828
37,89
870,1318
427,1056
697,161
310,1296
441,1162
109,1518
819,241
335,129
104,1619
699,243
839,641
393,1821
622,416
145,824
17,1087
236,1895
841,997
368,259
441,1771
328,999
397,868
742,646
147,1763
839,894
865,792
997,1506
473,1618
565,1153
32,59
930,1488
859,1997
976,1954
853,886
488,1783
862,214
981,1826
194,1608
609,1442
933,182
705,1935
387,1558
769,1416
750,658
