servicio,operador
295,363
695,1468
144,1716
120,1766
955,946
72,1949
100,884
280,987
830,1583
975,836
465,54
566,121
790,401
906,1889
638,1702
201,1433
618,451
736,1264
572,471
489,689
122,1723
763,1725
639,754
390,769
566,337
257,771
164,1281
126,1405
261,265
549,143
136,211
220,13
653,16
751,1048
635,134
487,1269
554,939
467,1094
721,1647
399,105
521,1574
403,824
587,56
975,101
779,1414
874,408
629,898
475,1726
561,1807
244,1421
495,1957
786,1823
559,1658
435,8
878,1039
245,142
974,1685
105,103
214,1998
175,256
814,1699
569,1279
822,1877
185,973
739,708
413,1272
800,504
864,502
922,557
270,1879
551,1074
118,304
775,468
523,1913
460,1809
987,1028
116,546
766,1435
533,277
754,304
658,1796
302,1079
679,434
213,946
509,1793
635,861
874,1463
962,101
135,1905
774,974
111,1313
299,448
199,1559
453,192
820,424
604,1434
144,1024
548,1824
996,611
266,484
944,11
598,114
321,79
836,1525
307,693
301,655
818,279
176,326
420,314
748,191
535,1554
387,472
869,143
542,1907
745,1197
416,1795
295,1321
989,42
503,328
535,708
611,984
646,1697
83,1016
979,631
532,1226
196,31
365,1303
167,1542
94,1895
248,682
614,1696
915,817
468,482
470,1459
615,1693
752,1265
276,797
934,1555
739,1829
644,98
902,829
602,451
113,1371
244,575
770,1994
916,1152
908,31
871,1446
201,114
590,1655
205,1094
276,1659
47,332
890,956
371,168
379,1691
118,1306
906,1472
973,216
755,1817
68,1964
900,1656
265,1609
189,218
473,1172
971,207
812,86
847,1971
510,1051
942,1267
207,1369
50,394
954,788
248,1702
451,1214
807,131
775,1116
68,1053
35,22
965,1161
788,1004
512,1247
626,1921
987,608
436,1027
709,1897
683,564
664,582
980,1769
185,1099
258,671
996,977
27,705
932,982
403,654
576,163
677,1088
792,442
971,944
400,825
85,1613
113,1394
774,763
142,1643
632,799
517,1491
860,976
683,1391
88,882
484,756
996,754
538,187
431,635
303,1449
396,76
321,339
680,651
788,1415
777,1608
153,1654
221,105
188,1934
510,468
664,573
798,1364
500,1052
834,84
799,1158
262,1994
990,921
975,43
87,1123
782,346
428,1101
700,278
479,1002
526,1033
248,1829
17,1216
869,256
929,1108
756,372
97,79
894,92
948,1815
834,138
529,195
99,781
596,1354
952,5
336,1955
303,1532
839,22
734,167
762,1384
514,1897
427,71
882,1981
272,1616
9,1419
189,111
113,667
471,663
444,1609
831,784
221,1444
631,1855
516,953
488,885
965,677
214,82
362,1631
304,729
134,951
20,408
884,1395
747,1754
654,794
196,55
429,1609
875,87
338,107
330,198
896,1776
684,1583
883,1382
963,99
604,1438
588,1055
657,91
315,1446
670,1313
810,941
377,23
977,487
370,1645
808,1364
674,1181
317,1273
524,742
960,1098
332,928
801,1511
137,53
135,1864
718,235
454,1272
722,1895
583,1564
273,613
640,1732
450,1234
671,1592
996,1883
539,72
591,1034
314,916
723,1374
744,451
219,114
426,724
4,21
194,47
262,63
414,1695
87,23
904,1533
151,35
618,156
791,1302
154,1818
139,693
222,1713
493,1632
725,1227
416,57
453,1163
588,1432
823,1085
469,51
218,372
829,1652
817,258
573,1717
363,958
431,1427
716,987
827,1084
708,1477
506,406
734,524
830,8
544,1216
785,923
820,1332
899,1818
749,1583
327,1091
875,1627
863,642
818,3
504,1842
291,1726
748,1069
266,696
372,1799
777,527
616,1547
91,559
18,1632
610,1575
779,422
402,568
362,143
776,1
299,1296
330,1375
385,782
652,843
594,786
525,369
282,789
934,1521
145,1387
234,14
747,1
237,686
379,1946
207,569
176,1123
593,63
626,388
478,908
532,651
929,233
114,1049
929,1253
222,151
500,1781
846,1937
759,519
663,1137
973,1824
538,1677
102,546
201,162
636,824
65,13
258,1622
996,1602
525,1386
242,1595
1000,1782
419,1786
401,1959
231,1965
744,923
183,26
83,213
764,1097
429,1266
985,407
144,1944
620,141
799,792
574,603
306,1511
924,1735
287,12
312,645
388,1824
829,317
508,1844
106,441
810,144
422,41
50,597
633,426
157,283
241,31
880,1232
836,278
208,1061
43,1174
439,193
84,1787
959,1487
971,986
251,1251
387,1695
171,242
771,1258
530,168
529,665
175,1854
974,19
206,322
470,41
389,274
280,1157
269,1756
170,772
554,1227
406,1312
381,1697
864,698
251,827
99,118
100,699
8,57
878,391
251,293
637,668
733,99
498,134
